排名,球员姓名,球队,比赛场次,出场时间,得分,篮板,助攻,抢断,盖帽,投篮命中率,三分命中数,三分命中率%,罚球命中率
83,马利克 蒙克,国王,65,31.6,17.2,3.8,5.6,0.9,0.6,43.9%,139,32.5%,86.5%
84,伊曼纽尔 奎克利,猛龙,33,27.8,17.1,3.5,5.8,0.7,0.1,42%,85,37.8%,86.7%
85,雅各布 托平,老鹰,1,27,17,4,2,0,0,50%,5,62.5%,0%
86,吉米 巴特勒三世,勇士,25,30.6,17,5.2,4.8,1.1,0.4,54%,13,36.1%,80.1%
87,布拉德利 比尔,太阳,53,32.1,17,3.3,3.7,1.1,0.5,49.7%,102,38.6%,80.3%
88,德尼 阿夫迪亚,开拓者,72,30,16.9,7.3,3.9,1,0.5,47.6%,125,36.5%,78%
89,伊维察 祖巴茨,快船,80,32.8,16.8,12.6,2.7,0.7,1.1,62.8%,0,0%,66.1%
90,基恩特 乔治,爵士,67,31.5,16.8,3.8,5.6,0.7,0.1,39.1%,174,34.3%,81.8%
91,德里克 怀特,凯尔特人,76,33.9,16.4,4.5,4.8,0.9,1.1,44.2%,265,38.4%,83.9%
92,马利克 比斯利,活塞,82,27.8,16.3,2.6,1.7,0.9,0.1,43%,319,41.6%,67.9%
93,德文 瓦塞尔,马刺,64,31,16.3,4,2.9,1.3,0.5,44.3%,158,36.8%,79.2%
94,杰伦 萨格斯,魔术,35,28.6,16.2,4,3.7,1.5,0.9,41%,76,31.4%,88.2%
95,乔丹 克拉克森,爵士,37,26,16.2,3.2,3.7,0.8,0.2,40.8%,84,36.2%,79.7%
96,保罗 乔治,76人,41,32.5,16.2,5.3,4.3,1.8,0.5,43%,96,35.8%,81.4%
97,本内迪克特 马图林,步行者,72,29.8,16.1,5.3,1.9,0.7,0.3,45.8%,98,34%,83.1%
98,迈尔斯 特纳,步行者,72,30.2,15.6,6.5,1.5,0.8,2,48.1%,156,39.6%,77.3%
99,克里斯蒂安 布劳恩,掘金,79,33.9,15.4,5.2,2.6,1.1,0.5,58%,89,39.7%,82.7%
100,乔纳森 库明加,勇士,47,24.3,15.3,4.6,2.2,0.8,0.4,45.4%,46,30.5%,66.8%
101,乔纳森 库明加,勇士,47,24.3,15.3,4.6,2.2,0.8,0.4,45.4%,46,30.5%,66.8%
102,贾里德 麦凯恩,76人,23,25.7,15.3,2.4,2.6,0.7,0,46%,51,38.3%,87.5%
103,凯尔 库兹马,雄鹿,32,27.7,15.2,5.8,2.5,0.6,0.2,42%,45,28.1%,60.2%
104,凯利 乌布雷,76人,60,34.6,15.1,6.1,1.8,1.5,0.5,47%,71,29.3%,75.1%
105,切特 霍姆格伦,雷霆,32,27.4,15,8,2,0.7,2.2,49%,44,37.9%,75.4%
106,卡里斯 勒维尔,老鹰,26,26.6,14.9,3.7,2.9,0.9,0.5,48.2%,46,33.8%,72.2%
107,斯蒂芬 卡斯尔,马刺,81,26.7,14.7,3.7,4.1,0.9,0.3,42.8%,95,28.5%,72.4%
108,PJ 华盛顿,独行侠,57,32.2,14.7,7.8,2.3,1.1,1.1,45.3%,91,38.1%,72.2%
109,阿隆 戈登,掘金,51,28.4,14.7,4.8,3.2,0.5,0.3,53.1%,75,43.6%,81%
110,约什 吉迪,公牛,70,30.2,14.6,8.1,7.2,1.2,0.6,46.5%,105,37.8%,78.1%
111,凯尔 库兹马,雄鹿,33,31.8,14.5,5.6,2.2,0.5,0.4,45.5%,51,33.3%,66.3%
112,雅各布 珀尔特尔,猛龙,57,29.6,14.5,9.6,2.8,1.2,1.2,62.7%,1,33.3%,67.4%
113,德安德烈 艾顿,开拓者,40,30.2,14.4,10.2,1.6,0.8,1,56.6%,6,18.8%,66.7%
114,格雷迪 迪克,猛龙,54,29.4,14.4,3.6,1.8,0.9,0.2,41%,114,35%,85.8%
115,杰拉米 格兰特,开拓者,47,32.4,14.4,3.5,2.1,0.9,1,37.3%,108,36.5%,84.9%
116,佩顿 普里查德,凯尔特人,80,28.4,14.3,3.8,3.5,0.9,0.2,47.2%,255,40.7%,84.5%
117,德安德烈 亨特,老鹰,27,25,14.3,4.2,1.3,0.7,0.3,48.5%,60,42.6%,82.1%
